,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,108,3,1.0,1,277,0,1,1,0
1,29,4,1.5,3,130,0,1,0,0
2,48,4,1.2,3,0,0,1,0,1
3,69,3,1.0,2,80,0,1,1,0
4,120,1,0.0,1,0,0,1,0,0
5,85,4,1.0,2,131,0,1,0,0
6,38,2,1.0,3,164,0,1,0,0
7,63,4,1.2,2,6,0,1,1,0
8,121,1,1.5,1,0,0,1,0,0
9,62,2,2.2,3,60,0,1,1,0
10,148,1,1.0,1,27,0,1,0,0
11,59,3,3.0,2,0,0,1,0,0
12,63,4,1.6,2,71,0,1,0,0
13,88,2,1.8,2,319,0,1,0,1
14,41,4,1.3,3,0,1,1,0,0
15,149,1,6.0,1,62,0,1,0,0
16,125,1,7.3,1,28,0,1,0,0
17,112,4,2.1,3,30,0,1,0,1
18,51,3,0.5,3,0,0,1,1,0
19,198,2,2.8,1,44,0,1,1,1
20,152,1,1.3,1,455,0,1,0,0
