,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,100,3,1.0,1,383,0,1,1,0
1,29,4,1.5,3,128,0,1,0,0
2,48,4,1.1,3,0,0,1,0,1
3,69,3,0.7,2,80,0,1,0,0
4,120,1,1.6,1,0,0,1,0,0
5,85,4,1.3,2,131,0,1,0,0
6,42,2,1.0,3,164,0,1,0,0
7,63,4,1.2,2,33,0,1,1,0
8,121,1,1.5,1,0,0,1,0,0
9,62,2,2.2,3,85,0,1,1,0
10,148,1,1.0,1,26,0,1,0,0
11,59,3,3.0,2,0,0,1,0,0
12,63,4,1.6,2,40,0,1,0,0
13,88,2,1.8,2,319,0,1,0,1
14,42,4,1.7,3,0,1,1,0,0
15,149,1,6.0,1,54,0,1,0,0
16,125,1,7.3,1,41,0,1,0,0
17,97,4,1.9,3,0,0,0,0,1
18,59,3,0.5,3,0,0,1,1,0
19,198,2,2.8,1,19,0,1,1,1
20,153,1,1.3,1,324,0,1,0,0
