Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,Personal Loan
134,4,4.5,3,0,1,1,1,0,1
15,4,0.7,3,102,0,0,0,0,0
68,1,1.5,2,0,0,0,0,0,0
93,1,2.8,3,328,1,1,1,1,0
124,2,5.042708365747654,2,157,0,1,0,1,1
84,1,1.3,3,0,1,0,1,0,0
70,1,1.6,3,251,0,0,1,1,0
146,1,3.266583093324872,3,247,1,1,1,0,1
44,1,1.2,1,0,0,0,0,0,0
91,2,0.7,2,0,0,0,1,1,0
128,1,7.4,1,0,0,0,0,0,0
10,1,0.8,2,0,0,0,1,0,0
112,1,2.7,2,408,1,1,1,1,0
21,3,0.9,3,119,0,0,0,0,0
81,2,2.5,1,313,0,0,0,0,0
172,2,5.80960466999503,3,200,0,1,1,0,1
44,3,1.0,3,198,0,0,1,1,0
40,1,2.5,3,94,0,0,1,1,0
85,4,3.4,2,200,0,0,1,0,0
152,4,5.762871898092659,2,231,0,1,1,1,1
149,1,3.840578174545529,2,359,0,1,1,0,1
43,2,1.1,2,0,0,0,0,1,0
182,4,4.823495811130111,2,69,0,1,0,0,1
111,1,0.8,2,0,0,0,0,0,0
80,3,0.5,1,0,0,0,1,0,0
182,3,6.563404503903969,2,30,0,1,1,1,1
81,3,2.67,2,251,0,0,1,1,0
53,3,2.8,1,0,0,0,0,0,0
158,1,3.760621569755748,2,52,1,1,1,0,1
41,1,1.9,3,0,0,0,0,1,0
128,3,3.3697364474503013,2,477,0,1,1,1,1
83,1,2.8,2,0,0,0,1,1,0
34,2,0.3,1,0,0,0,0,0,0
146,2,5.042885737991933,2,85,0,1,1,1,1
21,4,0.4,2,137,0,0,1,1,0
28,2,0.7,2,90,0,0,1,1,0
89,4,1.9,2,0,0,0,1,1,0
79,1,1.0,3,233,0,0,1,0,0
92,2,1.1,1,0,0,0,1,0,0
31,1,0.5,3,0,0,0,1,0,0
146,3,4.915072529876014,2,1,0,1,1,0,1
155,1,7.4,3,0,0,0,0,0,1
134,2,3.3,1,0,0,0,1,0,0
35,1,1.2,3,0,0,0,1,0,0
164,1,3.6715439969150605,3,73,0,1,1,1,1
126,3,4.2538103062190284,3,34,0,1,1,0,1
126,2,3.4483270010584315,3,153,0,1,0,0,1
31,3,0.4,2,0,0,0,1,1,0
143,4,3.906938488785932,2,84,0,1,1,0,1
188,4,3.868358901283268,2,32,1,1,0,0,1
78,4,0.1,2,0,0,0,1,0,0
171,4,3.397465064146924,3,37,0,1,1,1,1
125,3,6.053569661996438,3,295,0,1,0,0,1
89,4,1.0,2,90,1,0,1,0,0
129,3,5.700837869856058,2,213,0,1,0,1,1
219,3,4.5295771814322245,2,278,0,1,0,0,1
51,1,1.0,1,0,0,0,1,0,0
24,3,0.4,1,0,0,0,1,0,0
146,1,5.4586638866695205,3,10,0,1,0,0,1
115,1,3.4,1,0,0,0,1,0,0
28,4,0.1,3,149,0,0,1,1,0
84,4,2.2,2,322,0,0,0,0,0
34,1,1.5,3,0,0,0,1,1,0
171,4,5.175330592541572,2,380,0,0,0,1,1
168,2,6.761951495097527,2,25,1,1,1,1,1
92,1,1.9,2,0,0,0,0,0,0
177,3,7.07403757177763,3,141,0,1,1,0,1
165,4,7.4255242771100916,3,25,0,1,1,0,1
153,2,7.5,1,0,0,0,0,0,0
149,2,7.2,1,0,0,0,1,0,0
45,4,2.5,2,113,0,0,1,0,0
180,2,7.932852633297843,3,86,0,1,1,1,1
32,2,1.0,2,0,0,0,0,0,0
167,2,5.615036403728981,3,477,0,1,0,1,1
169,1,4.514815742089059,2,45,0,1,1,0,1
143,2,4.307344410785116,3,6,0,1,1,1,1
95,2,1.9,1,0,0,0,1,1,0
184,2,3.71086622642178,2,158,1,1,0,0,1
148,4,0.7802012633103366,2,410,0,1,1,0,1
30,1,1.0,3,111,0,0,0,0,0
81,4,1.9,2,0,0,0,0,0,0
125,3,6.432728498173883,2,301,0,1,0,0,1
88,2,0.0,1,121,0,0,1,0,0
18,2,0.1,2,119,0,0,1,1,0
130,3,5.330657945112768,3,75,0,1,0,1,1
125,4,3.152768345839513,3,145,0,1,1,0,1
143,2,3.21892814368096,3,113,1,1,1,0,1
124,2,3.478755067275065,2,4,0,1,0,0,1
176,4,2.98274229580534,3,202,0,1,0,0,1
64,4,3.4,1,0,0,0,0,0,0
39,3,2.4,2,0,0,0,1,0,0
139,2,4.573267634064856,3,68,0,1,1,0,1
138,1,0.0,1,0,0,0,0,0,0
115,1,1.0,3,0,0,0,1,0,0
133,1,0.0,1,0,0,0,1,0,0
198,2,6.67,1,0,0,0,0,1,0
34,1,1.9,3,156,0,0,1,0,0
140,1,5.1447804334069716,2,107,0,1,1,1,1
138,3,3.2468866574042887,3,39,0,1,0,0,1
81,4,2.4,1,0,0,0,0,0,0
53,4,2.0,3,0,0,0,0,0,0
81,1,2.9,1,0,0,0,0,1,0
45,1,0.3,1,0,0,0,1,1,0
70,4,2.6,1,0,0,0,1,0,0
122,1,4.582240722103814,2,440,0,1,1,1,1
33,4,1.5,3,0,1,0,0,1,0
84,4,1.6,2,0,0,0,1,0,0
64,3,0.5,3,247,0,0,0,0,0
62,2,3.2,3,118,0,0,0,1,0
48,3,0.3,3,0,0,0,1,1,0
175,3,3.6,3,0,0,1,1,1,1
40,4,2.5,2,0,0,0,1,0,0
82,3,0.1,1,0,0,0,1,0,0
99,3,1.1,1,0,0,0,0,0,0
129,3,4.489543577008493,2,51,0,1,1,0,1
38,1,0.5,3,144,0,0,1,0,0
60,1,2.5,3,0,0,0,1,0,0
80,2,2.8,1,0,0,0,1,0,0
68,1,0.8,3,0,0,0,1,1,0
163,3,7.0268460793238425,3,452,0,1,0,1,1
157,3,5.983106671499077,2,127,0,1,1,0,1
51,2,3.2,3,0,0,0,1,0,0
156,4,5.375347902077825,2,72,0,1,1,1,1
132,1,4.4,2,0,0,0,1,0,1
169,3,5.67,3,167,0,1,0,1,1
83,3,3.9,2,0,0,0,1,0,1
170,1,6.0,1,0,0,0,1,0,0
55,4,1.7,2,175,0,0,1,0,0
139,2,7.8,1,0,0,0,0,0,0
99,1,1.0,3,0,0,0,1,0,0
29,4,1.0,1,0,0,0,1,1,0
205,2,4.62747876208191,2,365,0,1,1,1,1
169,4,4.264550592966408,2,150,0,1,1,1,1
128,4,3.1964782298450616,3,55,0,1,1,0,1
39,4,1.3,1,0,0,0,1,0,0
171,2,7.8,1,0,0,0,1,0,0
30,2,0.2,3,0,0,0,1,0,0
39,3,1.7,2,0,1,0,1,0,0
149,4,2.8118540628370083,2,357,0,1,1,0,1
54,1,1.2,2,0,0,0,0,0,0
115,4,3.8,2,0,0,0,1,0,1
141,3,6.202355080239077,3,125,0,1,1,1,1
40,3,0.9,3,129,0,0,1,0,0
127,4,3.9788074161024665,3,289,0,1,1,0,1
78,3,1.1,1,0,0,0,1,0,0
64,2,0.1,1,0,0,0,1,1,0
158,1,5.1,3,0,0,1,1,1,1
122,4,0.2,1,378,0,0,1,0,1
135,4,4.936855117764373,2,170,0,1,1,0,1
21,2,0.4,1,0,1,0,1,0,0
32,2,0.7,2,0,0,0,1,0,0
141,2,8.0,1,0,0,0,1,0,0
52,3,2.7,2,228,0,0,0,1,0
193,1,8.6,1,0,0,0,0,0,0
64,2,1.9,2,0,0,0,0,0,0
95,1,0.3,1,0,0,0,1,0,0
141,3,4.820585192448563,2,23,0,1,0,1,1
180,2,5.083806025571967,2,39,0,1,1,1,1
173,2,7.2,3,0,0,0,1,0,1
82,4,2.0,2,0,0,0,1,1,0
15,4,0.6,2,83,0,0,0,0,0
149,3,8.021610493683099,2,41,0,1,0,0,1
151,4,3.9956169241659194,2,69,0,1,0,0,1
84,4,1.9,2,0,0,0,1,0,0
50,2,0.6,3,0,0,0,0,0,0
53,2,1.0,3,181,0,0,0,0,0
182,1,5.799675509199227,2,56,0,1,0,0,1
168,2,3.0951467948337115,2,37,0,1,1,0,1
44,1,1.2,1,0,0,0,1,1,0
82,1,4.0,3,0,0,0,1,0,0
39,3,1.9,2,83,0,1,1,1,0
177,1,3.956635305915444,3,113,1,1,1,0,1
38,4,1.5,3,0,0,0,0,1,0
82,3,3.0,2,0,0,0,1,0,0
84,3,0.7,2,0,0,0,1,0,0
84,2,3.7,1,304,1,0,1,0,0
22,4,0.7,2,0,0,0,1,1,0
43,1,1.3,2,123,0,0,1,0,0
103,2,0.6,1,84,0,0,0,0,0
115,4,3.1,2,0,0,0,0,0,1
84,4,2.2,2,0,0,0,1,1,0
65,2,0.4,3,232,0,0,0,1,0
