Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,Personal Loan
171,2,5.304669878854477,3,187,0,1,1,0,1
29,4,0.4,2,0,0,0,1,0,0
12,2,0.7,3,109,0,0,1,1,0
94,1,0.8,3,221,0,0,0,0,0
73,3,2.33,2,0,0,0,0,0,0
85,2,1.8,1,0,0,0,0,0,0
183,2,4.551357022485544,3,72,1,1,0,1,1
143,4,6.6,2,0,0,0,1,0,1
175,2,8.0,1,0,0,0,1,0,0
155,1,7.0,1,0,0,0,1,1,0
79,4,0.1,2,280,0,0,1,0,0
65,3,2.2,3,0,0,0,0,0,0
28,1,0.2,3,0,0,0,1,0,0
160,3,6.383585339335352,2,9,1,1,0,0,1
43,1,1.7,1,142,0,0,0,1,0
179,2,7.273076590095777,2,195,0,1,1,1,1
179,3,6.964380033128817,3,180,0,1,1,1,1
141,2,4.33,1,0,0,0,1,0,0
44,2,1.9,2,157,0,0,0,0,0
129,4,6.1740955332188046,2,135,0,1,1,0,1
25,1,0.9,3,0,0,0,1,0,0
184,2,4.2,3,577,0,1,1,1,1
204,4,0.14360438201000306,2,316,0,1,1,0,1
70,4,0.7,1,0,1,0,0,0,0
135,3,3.3116485471138453,2,224,0,1,1,0,1
143,3,4.791470831059487,2,127,1,1,0,0,1
154,3,6.2462973214121975,3,33,1,1,1,0,1
38,1,1.3,2,120,0,0,0,1,0
132,3,2.6,1,308,0,0,0,0,1
176,2,5.331488362985037,3,274,0,1,1,0,1
10,2,0.3,2,0,1,0,0,1,0
141,2,4.874570108406316,2,216,1,1,1,1,1
74,3,2.6,2,0,0,0,1,0,0
118,2,3.3,1,0,0,0,1,0,0
61,2,1.7,1,229,0,0,0,1,0
141,2,0.0,1,0,0,0,1,1,0
55,3,0.7,2,0,0,0,1,0,0
54,3,0.8,3,0,0,0,1,0,0
135,3,4.219330036566361,1,352,1,1,0,0,1
222,3,6.304177463893938,2,105,0,1,1,1,1
24,1,0.1,1,0,0,0,0,0,0
51,2,1.1,1,0,0,0,1,0,0
175,3,5.319669787279235,3,70,0,1,0,0,1
