Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,Personal Loan
43,4,1.1,2,0,0,0,0,0,0
60,3,1.4,3,0,0,0,0,0,0
111,1,1.1,2,0,0,0,1,0,1
177,4,4.997079409970515,3,182,0,1,1,1,1
65,3,2.1,3,0,0,0,1,1,0
82,2,2.8,1,0,0,0,0,1,0
74,3,0.3,3,0,0,0,1,0,0
70,1,2.9,1,0,0,0,0,0,0
160,3,3.4248678691245726,2,212,0,1,1,0,1
133,2,7.891252788581916,2,389,0,1,0,0,1
92,2,0.2,1,0,0,0,1,0,0
101,2,3.9,3,294,0,0,1,0,1
82,1,0.0,1,0,0,0,1,1,0
101,3,4.4,1,0,0,0,1,1,0
30,2,0.8,3,0,0,0,1,0,0
51,4,1.5,1,0,0,0,0,0,0
19,3,0.3,3,0,0,0,1,0,0
137,3,7.489617402414485,2,261,0,1,0,0,1
188,4,5.164549765249522,3,183,1,1,1,1,1
90,2,2.7,1,0,0,0,1,1,0
48,1,0.8,1,158,0,0,1,0,0
20,1,0.2,1,0,1,1,1,1,0
22,3,0.1,3,90,0,0,1,0,0
19,2,0.3,2,0,0,0,1,0,0
155,1,4.446624633764253,2,43,0,1,0,0,1
130,2,4.388878358580054,3,144,0,1,1,0,1
55,4,1.7,2,0,0,0,1,1,0
43,2,1.7,1,0,0,0,1,0,0
129,1,3.4,1,0,0,0,0,1,0
64,3,2.0,3,142,0,0,1,0,0
43,3,2.8,1,0,0,0,1,0,0
183,3,8.2,3,467,0,1,1,1,1
133,2,4.440659198272415,3,389,0,1,1,1,1
171,2,6.379318748452926,2,405,0,1,1,0,1
148,4,3.1153818454052478,3,286,0,1,1,1,1
80,4,3.4,1,0,0,0,1,1,0
55,3,1.1,2,0,0,0,1,0,0
161,3,7.523601425923563,2,45,0,1,1,1,1
112,2,1.6,2,0,0,0,1,0,1
176,4,6.800508600493774,2,332,0,0,0,0,1
134,1,4.0,1,0,0,0,0,0,0
139,4,3.006503984753948,2,54,0,1,0,0,1
199,3,1.938419810155375,2,434,1,1,0,0,1
146,4,4.764648181767523,3,53,0,1,1,0,1
60,3,2.2,3,84,0,0,1,0,0
150,2,3.2475944563896664,2,118,0,1,1,1,1
15,2,0.3,2,119,0,0,0,0,0
81,3,0.7,1,0,0,0,0,0,0
191,1,5.7374493596103004,2,127,0,1,0,0,1
58,1,1.8,3,241,0,0,1,0,0
135,1,5.290512879775184,2,133,0,1,0,1,1
45,4,1.3,3,0,0,0,0,0,0
152,3,5.534179142696894,2,144,0,1,1,0,1
140,2,6.3,1,380,0,0,1,1,0
23,2,0.5,2,103,0,0,1,0,0
108,1,4.0,1,0,0,0,1,0,0
59,1,1.4,3,241,0,0,1,0,0
137,2,3.507960404611342,2,70,0,1,0,0,1
54,3,0.9,3,179,0,0,1,0,0
79,4,2.6,3,0,0,0,0,0,0
144,3,6.294656314467838,2,16,0,1,1,0,1
