Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard,Personal Loan
224,3,5.069111331519539,2,110,1,1,0,0,1
215,3,3.6110630466205387,2,259,0,1,0,1,1
75,4,0.1,2,182,0,0,1,0,0
222,4,8.256036595006565,2,63,0,1,0,0,1
144,2,3.3,1,0,0,0,1,1,0
138,4,4.746543462759707,2,71,0,1,0,0,1
71,2,2.7,1,94,0,0,1,0,0
170,3,8.370242060343267,3,252,0,1,1,1,1
167,3,3.568521161213241,3,250,0,1,1,1,1
45,3,0.1,3,0,0,0,1,0,0
180,1,4.3,1,0,0,0,0,0,0
13,4,0.9,2,0,0,0,0,0,0
173,1,0.5,2,0,0,0,1,0,1
85,1,0.8,2,0,0,0,1,1,0
112,1,0.0,1,0,0,0,0,0,0
53,1,1.4,1,0,0,0,0,0,0
61,3,0.5,3,137,0,0,1,0,0
149,4,3.1016486037569515,2,107,0,1,1,0,1
140,2,5.4993500794521415,2,28,0,1,1,0,1
34,2,0.6,3,0,0,0,1,1,0
43,4,0.2,2,0,0,0,0,1,0
194,3,8.808991463281416,3,209,0,1,0,0,1
23,1,0.1,1,96,0,0,0,0,0
173,2,6.7,1,222,0,0,1,0,0
93,2,2.2,1,0,0,0,1,1,0
90,1,2.8,1,0,0,0,1,0,0
50,2,1.7,1,174,0,0,0,0,0
93,4,1.9,3,0,0,0,0,0,0
35,3,0.1,2,0,1,0,1,0,0
124,1,5.2,1,0,0,0,0,0,0
183,4,4.496858670100512,2,117,0,1,1,1,1
170,3,5.122395329404945,3,272,0,1,0,1,1
168,3,5.963228975651053,3,209,0,1,1,1,1
152,2,4.871821349713397,2,75,1,1,1,1,1
39,1,1.9,2,0,0,0,0,0,0
91,2,0.2,1,0,0,0,1,0,0
63,4,2.0,3,0,0,0,1,0,0
147,3,3.923300232834328,2,116,0,1,1,1,1
70,4,2.3,3,0,0,0,0,0,0
178,4,9.0,3,0,0,0,0,0,1
144,4,3.893450529374885,2,320,0,1,0,0,1
30,1,0.4,3,0,0,0,1,1,0
171,2,8.0,1,0,0,0,1,0,0
141,4,7.29427045142509,2,164,0,1,0,0,1
58,2,1.7,1,0,0,0,0,0,0
135,2,7.110541965775484,2,151,0,1,0,1,1
134,4,4.056530338768098,2,88,0,1,0,0,1
136,3,6.419172910018637,1,419,1,1,0,1,1
114,1,0.3,1,0,0,0,0,0,0
126,1,6.261546109700262,2,215,0,1,0,1,1
155,3,5.6175779030593,3,34,0,1,0,0,1
165,1,3.3738527284796347,3,253,0,1,1,0,1
163,1,4.054296366077554,3,161,0,1,0,1,1
18,2,0.0,1,0,0,0,0,1,0
148,4,3.889469729872816,3,54,0,1,0,0,1
72,3,1.4,3,218,0,0,0,1,0
145,2,3.0973526218541525,2,80,0,1,0,0,1
84,1,2.9,3,0,0,0,1,0,0
148,2,5.3973815899692426,2,31,0,1,1,1,1
52,2,1.0,2,0,0,0,0,1,0
98,1,4.0,3,0,0,0,0,1,0
99,1,1.9,1,323,0,0,0,0,0
61,3,0.5,3,0,0,0,1,0,0
41,1,2.0,2,0,1,0,1,0,0
23,3,1.0,2,0,0,0,1,1,0
122,1,0.0,1,0,0,0,1,1,0
129,1,2.5,1,0,0,0,1,0,0
78,4,0.2,1,0,0,0,1,1,0
41,4,2.0,2,0,0,0,0,0,0
170,2,6.5,2,0,0,1,1,1,1
80,2,1.6,3,185,0,0,1,1,0
73,3,0.3,3,0,0,0,0,0,0
25,2,0.2,1,0,0,0,0,0,0
64,2,1.7,3,236,1,0,1,0,0
168,2,4.735750905265854,3,58,1,1,0,0,1
65,4,2.8,2,0,0,0,0,1,0
64,4,1.5,1,0,0,0,1,0,0
13,2,0.7,3,0,0,0,1,0,0
40,4,1.2,2,0,0,0,1,0,0
136,3,5.331413364091366,2,58,0,1,0,1,1
172,3,6.7847504326221655,2,94,1,1,1,0,1
154,3,5.4,2,0,0,0,1,0,1
93,1,1.5,3,0,0,0,0,1,0
128,4,5.3,1,84,0,0,0,0,1
39,4,1.5,3,0,0,0,1,0,0
39,3,1.9,2,0,0,0,1,0,0
39,3,2.3,1,0,0,0,0,0,0
142,3,8.32288727115861,2,184,1,1,1,1,1
81,3,1.5,1,276,0,0,1,0,0
18,4,0.3,2,0,0,0,0,1,0
110,2,0.2,1,294,1,0,0,1,0
180,2,4.9866785271874985,3,245,0,1,0,0,1
18,2,0.4,1,0,0,0,1,0,0
121,1,2.0,1,0,0,0,0,0,0
199,2,5.728087739674409,2,14,0,1,1,0,1
174,4,3.168952196530128,3,279,1,1,0,0,1
31,3,1.0,2,142,0,0,0,0,0
161,3,3.12808517702758,2,232,0,1,0,1,1
62,4,3.8,2,149,0,0,1,0,0
99,4,1.8,2,268,0,0,0,0,0
92,2,2.8,1,103,0,0,0,0,0
197,3,3.710380172787559,3,10,0,1,1,1,1
98,1,4.2,1,171,1,1,0,0,1
111,3,3.0,1,0,1,1,0,1,1
65,4,1.3,1,0,0,0,0,1,0
135,2,4.171110608856745,2,21,0,1,0,1,1
60,2,2.5,1,0,1,0,0,0,0
43,1,1.5,1,0,0,0,1,0,0
63,4,2.1,3,0,0,0,1,0,0
115,2,0.5,3,0,0,0,0,0,1
84,2,0.0,3,0,0,0,1,1,0
150,3,5.073039314936788,1,328,1,1,0,1,1
194,2,0.0,1,0,0,0,0,0,0
39,1,1.5,1,0,0,0,0,1,0
198,2,5.113118700450155,2,148,0,1,0,1,1
40,1,1.3,2,0,0,0,1,1,0
45,1,1.7,1,84,0,0,0,0,0
61,4,1.7,1,0,0,0,0,0,0
33,1,1.5,2,0,0,0,1,0,0
188,1,2.9,3,0,0,0,1,0,1
165,4,5.460120718722462,2,329,0,0,1,0,1
144,3,3.6218522376961433,2,70,1,1,0,0,1
156,4,3.7663479849850465,3,103,0,1,1,0,1
14,4,0.4,1,94,0,0,1,0,0
136,2,3.841816917593413,2,137,0,1,1,0,1
85,4,1.1,2,0,1,0,1,0,0
40,1,1.6,1,0,1,1,1,1,0
30,4,1.3,3,0,0,0,1,1,0
43,4,0.2,2,0,0,0,1,0,0
179,1,4.601285466952227,2,176,0,1,0,0,1
103,2,4.5,3,0,0,0,1,0,0
153,2,4.594094365901626,2,67,0,1,1,0,1
21,3,1.3,1,115,0,0,0,0,0
123,2,4.075669083205061,2,333,1,1,1,0,1
29,1,2.0,2,0,0,0,1,0,0
102,1,0.3,1,0,0,0,1,0,0
33,4,1.5,2,85,0,0,0,0,0
54,4,2.2,2,0,0,0,0,0,0
184,3,5.0140757864208565,2,327,0,0,1,1,1
29,1,1.3,2,0,0,0,0,0,0
92,1,2.8,1,0,0,0,1,0,0
15,3,0.1,3,0,0,0,1,0,0
81,2,0.0,1,0,0,0,1,1,0
157,3,6.652644397688358,3,227,0,1,0,1,1
13,2,0.7,3,0,0,0,0,0,0
75,1,1.9,2,125,0,0,1,0,0
93,1,5.2,1,267,0,0,1,0,0
168,2,5.192132812834285,2,164,0,1,1,0,1
81,2,3.7,1,121,0,0,1,1,0
78,2,0.0,3,0,0,0,1,0,0
129,4,5.2,2,0,0,0,0,1,1
139,1,5.050546403446639,2,103,0,1,1,1,1
149,3,3.156571759800642,1,299,0,1,1,0,1
90,4,1.9,2,0,0,0,1,0,0
48,4,2.1,3,0,0,0,1,1,0
193,3,5.15578314568042,2,263,0,1,1,0,1
99,2,1.5,3,0,0,0,0,1,0
188,2,3.278067621925901,3,14,1,1,1,1,1
179,1,8.6,1,357,0,0,0,0,0
55,2,3.2,3,151,0,0,0,0,0
65,3,2.7,2,0,0,0,1,0,0
150,1,0.8,1,0,0,0,0,1,0
65,3,2.8,1,240,0,0,1,0,0
128,2,3.25,2,0,0,0,0,1,1
142,2,4.4037336104919955,3,162,0,1,0,0,1
90,3,1.6,1,0,0,0,1,0,0
135,2,5.2834114107395855,2,277,0,1,0,0,1
153,3,1.1743454500359736,3,297,0,1,1,0,1
178,2,6.283585810995456,2,196,0,1,1,0,1
60,3,2.1,1,0,0,0,1,1,0
80,1,3.0,3,0,0,0,1,1,0
72,3,0.3,3,0,0,0,1,0,0
30,1,0.1,1,0,0,0,1,0,0
206,3,6.943789380505762,3,118,0,1,0,0,1
134,3,5.844459947367816,2,339,0,1,1,1,1
137,2,5.843871775285457,2,132,1,1,1,0,1
51,1,1.3,2,0,0,0,0,0,0
161,2,5.525410132058745,2,41,0,1,0,0,1
154,1,4.3063886888453915,3,68,0,1,1,1,1
29,1,1.5,2,0,0,0,1,0,0
68,4,2.3,3,0,0,0,0,0,0
45,1,1.8,1,172,1,0,1,0,0
141,4,3.7950710018493385,2,147,0,1,0,1,1
109,1,2.4,1,308,0,1,1,1,0
160,3,8.364862030844638,2,103,0,1,0,0,1
69,3,3.1,2,0,0,0,1,0,1
141,3,5.0,3,0,1,1,1,0,1
81,1,2.7,2,0,0,0,1,0,0
161,3,5.3606108980722285,3,516,0,0,0,0,1
156,1,3.490218235462165,2,2,0,1,1,0,1
24,2,0.8,3,0,0,0,1,1,0
144,3,7.652438462659925,3,66,1,1,0,1,1
179,3,5.121176641387778,3,93,0,1,1,0,1
144,3,6.295616858285647,3,59,0,1,0,1,1
38,1,2.4,1,130,0,0,1,0,0
45,4,1.8,1,0,0,0,1,0,0
53,2,1.6,3,78,0,0,0,0,0
78,4,3.6,3,0,0,0,1,0,0
157,3,3.2296414146518697,2,57,0,1,0,0,1
83,4,1.0,2,0,0,0,1,0,0
35,4,0.8,1,0,0,0,1,0,0
152,2,7.583407059921043,2,200,1,1,1,0,1
139,2,2.0,1,0,0,0,0,1,0
38,4,1.7,1,0,0,0,0,1,0
25,4,0.4,2,101,0,0,1,0,0
130,4,6.5,1,0,0,0,0,1,1
158,2,8.566703963516606,2,316,0,1,1,1,1
78,4,0.7,3,0,0,0,1,0,0
138,2,3.701336488624493,2,92,0,1,0,0,1
63,3,2.67,1,0,0,0,1,0,0
84,2,2.8,1,0,0,0,1,1,0
186,1,3.5439626530416883,2,81,0,1,1,0,1
191,2,4.634753381195871,2,12,0,1,1,0,1
163,2,5.347045106865014,2,214,0,1,1,1,1
185,1,2.9,1,0,0,0,0,0,0
69,1,1.6,3,0,0,0,1,1,0
182,4,3.615523377179122,2,106,0,1,1,0,1
133,4,5.7,3,0,0,1,1,1,1
148,2,4.616840168044251,2,15,0,1,1,0,1
131,1,3.2732522737256278,3,328,0,1,1,0,1
155,3,4.930983996848519,2,144,0,1,1,1,1
103,3,2.0,2,167,0,0,0,0,0
111,1,4.3,1,0,0,0,1,0,0
195,1,4.3,1,0,0,0,0,0,0
154,1,5.414225606657637,3,186,0,1,1,0,1
149,3,4.350139611294918,3,235,1,1,0,0,1
130,1,6.826136405332808,2,134,0,1,0,0,1
72,2,1.7,2,75,0,0,1,0,0
98,3,2.0,2,0,0,0,0,0,0
42,3,1.5,1,0,0,0,0,1,0
39,4,0.1,3,0,1,0,1,0,0
21,1,0.1,1,0,0,0,0,0,0
156,2,6.281951712602433,3,162,0,1,0,0,1
24,4,0.6,2,0,0,0,0,0,0
83,1,0.3,1,0,0,0,1,1,0
195,3,0.4,1,0,1,1,0,1,1
18,3,0.1,2,0,0,0,1,1,0
141,3,5.291875568807188,2,44,0,1,1,0,1
29,4,0.7,2,87,0,0,1,0,0
80,2,2.8,1,0,0,0,1,1,0
62,4,3.6,3,83,0,0,0,1,0
12,4,1.0,1,89,0,0,0,0,0
71,4,1.8,2,0,1,0,1,0,0
149,1,1.7,1,0,0,0,1,0,0
69,3,0.7,2,170,0,0,0,0,0
176,2,3.7977194733988666,2,162,0,1,0,0,1
38,4,1.0,2,0,0,0,1,0,0
152,1,6.0,1,0,0,0,1,1,0
34,1,0.7,1,0,0,0,1,1,0
153,2,5.004232934062416,3,263,0,1,1,0,1
58,3,2.0,1,90,0,0,1,0,0
25,2,1.0,2,0,0,0,0,0,0
125,1,0.0,1,0,0,0,1,1,0
54,2,1.0,2,109,0,0,0,1,0
176,3,5.188656031889008,3,325,0,1,0,0,1
152,1,3.5,3,0,0,0,1,0,1
181,2,4.909467567454222,2,125,0,1,0,0,1
128,2,3.7380591006129062,2,242,0,1,1,0,1
141,2,0.5,1,0,0,0,1,0,0
121,2,2.1,1,0,0,0,1,0,0
41,2,1.7,1,0,0,0,0,0,0
137,4,6.075289030123804,2,184,0,1,1,0,1
191,4,0.9572337482543638,2,330,0,1,0,1,1
219,2,3.589089090282067,2,172,0,1,0,0,1
143,1,3.5,1,0,0,0,1,1,0
159,1,5.7831498211914925,3,346,0,1,1,1,1
134,4,3.5297416252517118,2,158,0,1,1,1,1
35,2,1.7,2,0,0,0,0,0,0
148,3,4.1,1,0,0,0,1,0,1
166,4,3.7921975045163,2,55,0,1,1,1,1
42,1,0.2,3,102,0,0,1,0,0
55,3,0.5,2,172,0,0,0,0,0
185,4,4.36994735503244,3,211,0,1,1,0,1
186,3,7.092214622992464,3,210,0,1,1,0,1
33,1,2.0,2,0,0,0,0,0,0
23,4,0.4,2,122,0,0,0,0,0
