,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,Online,CreditCard,CDAccount
0,122,3,1.0,1,383,0,1,0,0.0
1,32,4,1.0,3,146,0,0,0,0.0
2,39,1,1.0,3,15,0,1,0,0.0
3,62,1,0.3,3,0,0,1,0,0.0
4,69,3,1.0,2,80,0,1,0,0.0
5,45,3,1.0,2,144,0,0,0,0.0
6,144,1,0.0,1,0,0,1,0,0.0
7,62,2,1.0,3,164,0,1,0,0.0
8,75,4,1.2,2,0,0,1,0,0.0
9,12,3,0.0,1,29,0,0,0,0.0
10,28,3,0.0,1,24,0,0,0,0.0
11,121,1,2.0,1,0,0,1,0,0.0
12,84,2,2.0,1,10,0,1,0,0.0
13,30,3,0.0,2,14,0,1,0,0.0
14,61,3,1.0,2,0,0,1,0,0.0
15,67,2,2.2,3,0,0,1,0,0.0
16,108,3,1.6,1,126,0,1,1,0.0
17,76,3,3.0,2,0,0,1,0,0.0
18,88,2,2.0,2,319,0,1,1,0.0
19,42,4,1.0,3,17,1,0,0,0.0
20,32,4,0.0,1,121,0,0,1,0.0
21,106,2,2.0,1,0,0,1,0,0.0
22,49,4,1.7,2,0,0,1,0,0.0
23,53,1,1.0,2,78,0,1,0,0.0
24,14,2,0.0,3,36,1,1,0,0.0
25,42,1,1.0,2,43,0,0,0,0.0
26,61,3,1.0,3,0,0,1,0,0.0
27,54,2,1.0,1,116,0,0,0,0.0
