,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,64.0,4,1.0,2,0,1,0.0,0,1
1,40.0,1,1.0,3,0,0,0.0,1,0
2,65.0,1,1.0,1,0,1,0.0,1,0
3,37.0,2,0.0,2,0,0,0.0,1,1
4,35.0,3,1.0,2,144,0,0.0,0,0
5,89.0,2,0.30000000000000004,3,91,0,1.0,1,1
6,38.0,2,1.0,3,164,0,0.0,1,0
7,67.0,4,1.0,2,0,0,0.0,1,0
8,13.0,3,0.0,1,0,0,0.0,0,0
9,28.0,3,0.0,1,2,0,0.0,0,0
10,88.0,2,2.0,1,0,0,0.0,1,0
11,33.0,3,0.0,2,0,0,0.0,1,0
12,55.0,3,1.0,2,0,0,0.0,1,0
13,93.0,3,2.0,1,126,0,0.0,1,1
14,66.0,4,1.0,2,0,0,0.0,0,0
15,46.0,4,1.0,3,0,1,0.0,0,0
16,32.0,4,0.0,1,77,0,0.0,0,1
17,45.0,4,1.0,1,0,0,0.0,1,0
18,95.0,2,2.0,1,0,0,0.0,1,0
19,43.0,4,1.0,2,0,0,0.0,1,0
20,37.0,1,1.0,2,78,0,0.0,1,0
21,112.0,4,2.0,3,0,0,0.0,0,1
22,18.0,2,0.0,3,0,1,0.0,1,0
23,46.0,1,1.0,2,0,0,0.0,0,0
24,35.0,2,1.0,1,116,0,0.0,0,0
