,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,113.0,3,2.0,1,383.0,0,0.0,1,0
1,41.0,4,1.0,3,146.0,0,0.0,0,0
2,66.0,4,1.0,2,0.0,1,0.0,0,1
3,43.0,1,1.0,3,0.0,0,0.0,1,0
4,66.0,1,1.0,1,48.0,1,0.0,1,0
5,36.0,2,0.0,2,32.0,0,0.0,1,1
6,43.0,3,1.0,2,144.0,0,0.0,0,0
7,36.0,2,1.0,3,91.0,0,1.0,1,1
8,41.0,2,1.0,3,164.0,0,0.0,1,0
9,63.0,4,1.0,2,0.0,0,0.0,1,0
10,20.0,3,0.0,1,31.0,0,0.0,0,0
11,44.0,3,1.0,1,0.0,0,0.0,0,0
12,98.0,2,2.0,1,0.0,0,0.0,1,0
13,34.0,3,0.0,2,40.0,0,0.0,1,0
14,53.0,3,1.0,2,0.0,0,0.0,1,0
15,41.0,2,1.0,1,38.0,0,0.0,0,0
16,91.0,3,2.0,1,126.0,0,0.0,1,1
17,59.0,1,1.0,2,28.0,1,0.0,0,0
18,132.0,1,3.0,1,0.0,0,0.0,0,1
19,70.0,4,1.0,2,0.0,0,0.0,0,0
20,51.0,4,1.0,3,0.0,1,0.0,0,0
21,41.0,4,1.0,1,77.0,0,0.0,0,1
22,50.0,4,1.0,1,50.0,0,0.0,1,0
23,102.0,2,2.0,1,0.0,0,0.0,1,0
24,50.0,4,1.0,2,53.0,0,0.0,1,0
25,42.0,1,1.0,2,78.0,0,0.0,1,0
26,112.0,4,2.1,3,90.0,0,0.0,0,1
27,29.0,2,0.0,3,37.0,1,0.0,1,0
28,44.0,1,1.0,2,0.0,0,0.0,0,0
29,66.0,3,1.0,3,0.0,0,0.0,1,0
30,49.0,2,1.0,1,116.0,0,0.0,0,0
