,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,37.0,4,1.0,3,146,0,0.0,0,0
1,66.0,4,1.0,2,0,1,0.0,0,1
2,43.0,1,1.0,3,0,0,0.0,1,0
3,65.0,1,1.0,1,0,1,0.0,1,0
4,34.0,2,0.0,2,4,0,0.0,1,1
5,75.0,3,1.0,2,80,0,0.0,1,0
6,40.0,3,1.0,2,144,0,0.0,0,0
7,95.0,2,0.8,3,91,0,1.0,1,1
8,38.0,2,1.0,3,164,0,0.0,1,0
9,66.0,4,1.0,2,0,0,0.0,1,0
10,13.0,3,0.0,1,0,0,0.0,0,0
11,37.0,3,1.0,1,0,0,0.0,0,0
12,84.0,2,2.0,1,0,0,0.0,1,0
13,39.0,3,1.0,2,0,0,0.0,1,0
14,51.0,3,1.0,2,0,0,0.0,1,0
15,99.0,3,2.0,1,126,0,0.0,1,1
16,72.0,4,1.0,2,0,0,0.0,0,0
17,98.0,2,2.0,2,319,0,0.0,1,1
18,42.0,4,1.0,3,0,1,0.0,0,0
19,48.0,4,0.0,1,80,0,0.0,0,1
20,43.0,4,1.0,1,0,0,0.0,1,0
21,100.0,2,2.0,1,0,0,0.0,1,0
22,47.0,4,1.0,2,0,0,0.0,1,0
23,41.0,1,1.0,2,78,0,0.0,1,0
24,113.0,4,2.0,3,0,0,0.0,0,1
25,24.0,2,0.0,3,0,1,0.0,1,0
26,44.0,1,1.0,2,0,0,0.0,0,0
27,43.0,2,1.0,1,116,0,0.0,0,0
