,Income,Family,CCAvg,Education,Mortgage,SecuritiesAccount,CDAccount,Online,CreditCard
0,67.0,4,1.0,1,62.0,0,0.0,0,1
1,117.0,3,2.0,1,383.0,0,0.0,1,0
2,50.0,4,1.0,3,146.0,0,0.0,0,0
3,90.0,4,2.0,2,0.0,1,0.0,0,1
4,56.0,1,1.0,3,42.0,0,0.0,1,0
5,62.0,1,1.0,1,10.0,1,0.0,1,0
6,51.0,2,1.0,2,36.0,0,0.0,1,1
7,69.0,4,1.0,3,0.0,0,0.0,0,1
8,34.0,4,1.0,2,52.0,0,0.0,0,0
9,73.0,3,1.0,2,80.0,0,0.0,1,0
10,44.0,3,1.0,2,144.0,0,0.0,0,0
11,39.0,2,2.0,3,91.0,0,1.0,1,1
12,86.0,4,2.0,2,131.0,0,0.0,0,0
13,52.0,2,1.0,3,164.0,0,0.0,1,0
14,69.0,4,1.0,2,0.0,0,0.0,1,0
15,24.0,3,0.0,1,0.0,0,0.0,0,0
16,36.0,3,1.0,1,45.0,0,0.0,0,0
17,123.0,1,3.0,1,76.0,0,0.0,1,0
18,102.0,2,2.0,1,0.0,0,0.0,1,0
19,33.0,3,0.0,2,38.0,0,0.0,1,0
20,69.0,3,1.0,2,59.0,0,0.0,1,0
21,64.0,2,1.0,1,0.0,0,0.0,0,0
22,99.0,3,2.0,1,126.0,0,0.0,1,1
23,139.0,1,3.0,1,0.0,0,0.0,0,1
24,63.0,4,1.0,2,0.0,0,0.0,0,0
25,42.0,4,1.0,1,96.0,1,0.0,1,0
26,107.0,2,2.0,2,319.0,0,0.0,1,1
27,57.0,4,1.0,3,70.0,1,0.0,0,0
28,52.0,4,1.0,1,77.0,0,0.0,0,1
29,46.0,4,1.0,1,49.0,0,0.0,1,0
30,97.0,2,2.0,1,0.0,0,0.0,1,0
31,56.0,4,1.0,2,57.0,0,0.0,1,0
32,59.0,1,1.0,2,78.0,0,0.0,1,0
33,117.0,4,2.0,3,0.0,0,0.0,0,1
34,27.0,2,0.0,3,34.0,1,0.0,1,0
35,55.0,1,1.0,2,0.0,0,0.0,0,0
36,52.0,2,1.0,1,116.0,0,0.0,0,0
37,82.0,3,2.0,1,48.0,0,0.0,0,1
