Marketing expense,Production expense,Multiplex coverage,Budget,Movie_length,Lead_ Actor_Rating,Lead_Actress_rating,Director_rating,Producer_rating,Critic_rating,Trailer_views,3D_available,Time_taken,Twitter_hastags,Genre,Avg_age_actors,Num_multiplex,Collection,Start_Tech_Oscar
39.7686,71.28,0.462,32291.215,173.5,7.825,8.01,7.935,8.04,7.8,365213,1,149.8,262.32,3,29,527,29000,1
224.66,91.2,0.386,34357.675,170.2,8.855,9.01,8.82,8.975,7.96,382809,1,105.84,302.336,3,60,653,29200,1
389.964,91.2,0.332,22986.59,173.5,9.27,9.48,9.425,9.55,6.96,215432,0,141.52,262.20799999999997,3,35,712,27600,1
194.335,91.2,0.307,35946.405,172.3,8.98,9.26,9.085,9.225,7.96,424127,0,115.24,302.096,2,29,712,26200,0
128.8228,91.2,0.287,36968.525,171.7,8.745,8.885,8.675,8.985,6.96,390279,1,162.08,222.43200000000002,4,41,614,30400,1
21.5772,64.9,0.589,39707.14,101.2,7.44,7.515,7.295,7.515,8.16,542840,1,162.92,205.968,4,37,475,74600,1
21.085,63.1,0.49,35079.825,146.9,8.325,8.36,8.295,8.38,8.68,487150,1,141.84,283.936,3,31,474,49200,0
21.6442,66.72,0.569,38646.135,80.3,5.41,5.575,5.45,5.755,7.18,534094,0,179.84,244.736,2,57,396,59200,1
1799.524,91.2,0.32899999999999996,38707.24,165.4,9.17,9.43,9.155,9.41,6.96,417588,1,188.16,281.664,4,21,666,20800,0
23.2422,68.92,0.536,34663.2,89.8,7.72,7.815,7.655,7.95,7.28,527157,0,132.08,204.032,1,25,434,50400,0
22.291999999999998,68.92,0.536,36318.59,132.2,7.995,8.185,7.94,8.045,7.28,502420,1,169.76,263.904,1,40,440,48800,0
39.1154,71.28,0.462,33591.085,162.3,7.75,7.8,7.7,7.845,6.8,406866,1,173.92,262.368,3,20,488,29600,0
337.20599999999996,91.2,0.321,32752.28,168.9,8.925,9.145,9.015,9.095,7.96,349335,1,111.32,301.328,3,51,674,16600,1
29.8596,74.8,0.456,36857.425,156.0,8.215,8.38,8.295,8.475,7.32,539571,0,143.12,223.648,1,31,581,45600,1
37.625,98.78,0.376,31313.535,168.2,8.85,9.06,8.95,9.175,6.76,406685,1,157.72,202.28799999999998,3,30,581,28600,1
23.8146,66.72,0.569,37318.49,91.0,5.96,6.2,5.96,6.23,8.18,531248,1,186.48,224.192,4,39,443,52400,0
25.2726,72.12,0.48,34602.095,164.7,8.715,8.86,8.56,8.775,6.82,437611,1,195.76,283.10400000000004,4,41,555,38800,1
167.3422,91.2,0.321,34402.115,151.6,8.94,9.07,9.005,9.11,7.96,356325,1,170.4,241.76,1,45,679,22000,0
22.5488,68.82,0.552,37607.35,76.4,7.115,7.14,7.0,7.3,7.42,512492,0,154.64,264.256,2,30,495,53200,0
21.8532,67.18,0.5670000000000001,36079.725,91.9,7.1,7.4,7.16,7.36,8.78,495797,1,158.56,224.22400000000002,2,42,373,52800,1
49.9264,94.16,0.129,30019.22,173.5,9.07,9.27,9.115,9.365,8.06,466687,0,129.84,223.136,1,42,754,39200,1
46.8568,94.16,0.395,33696.63,173.5,9.02,9.23,9.05,9.185,8.06,483363,0,177.72,263.888,1,46,556,48600,0
133.3274,91.2,0.26,34546.545,173.5,8.96,9.015,8.985,9.03,7.96,393382,0,141.92,282.368,1,54,772,29600,1
28.2476,67.4,0.496,39790.465,153.4,8.345,8.44,8.36,8.42,7.52,506523,0,126.64,205.05599999999998,1,34,541,63200,1
91.3736,91.2,0.42,35757.535,148.5,8.48,8.685,8.495,8.55,7.96,421532,1,169.28,303.712,2,39,635,46400,1
95.4996,91.2,0.345,33063.36,158.2,8.435,8.73,8.46,8.63,7.96,389121,1,167.6,203.04,4,21,572,38000,0
21.4026,82.78,0.45,36896.31,158.6,8.24,8.405,8.155,8.36,7.72,461695,0,185.48,284.592,4,23,487,57400,0
24.9044,74.8,0.456,32119.01,145.2,7.935,8.03,7.83,8.135,8.32,401740,0,195.92,243.168,1,50,471,39600,1
331.514,91.2,0.42,32918.93,144.5,8.52,8.55,8.44,8.67,6.96,383739,0,117.64,303.056,4,28,494,38200,1
22.0016,59.92,0.512,36457.465,169.1,8.48,8.665,8.545,8.62,8.44,493498,1,147.0,285.2,3,60,451,65000,1
20.4996,58.78,0.48200000000000004,36329.7,133.2,6.77,6.895,6.705,7.095,7.82,494604,1,146.6,222.64,1,40,566,33000,0
20.575,85.08,0.536,34502.105,102.4,8.04,8.225,8.095,8.305,8.36,508101,0,206.0,284.0,2,46,492,50000,0
134.6232,91.2,0.46799999999999997,39223.855,150.5,8.165,8.335,8.27,8.41,6.96,517077,0,110.0,224.0,3,29,584,50000,1
42.5316,94.16,0.129,27841.66,161.5,9.09,9.22,9.05,9.42,9.06,455196,1,108.12,202.44799999999998,4,46,851,30600,1
185.345,91.2,0.332,32635.625,163.1,9.435,9.495,9.375,9.44,6.96,464886,1,216.0,248.0,4,57,645,100000,1
176.7864,91.2,0.345,34490.995,138.9,8.42,8.56,8.45,8.64,7.96,456948,0,156.56,223.424,2,55,577,42800,0
181.1158,91.2,0.41600000000000004,30146.985,168.9,8.695,8.835,8.72,8.895,7.96,418266,0,181.52,222.208,2,47,498,27600,1
412.18199999999996,91.2,0.32899999999999996,40623.715,171.4,9.19,9.345,9.195,9.635,7.96,440970,0,178.0,302.4,4,45,625,30000,0
21.3798,106.3,0.419,32607.85,143.2,8.8,8.92,8.735,9.03,7.18,455844,1,156.8,203.52,1,23,570,44000,0
101.948,94.16,0.129,30374.74,173.5,9.18,9.4,9.21,9.385,9.06,308802,1,146.24,262.496,4,25,793,31200,1
160.4518,91.2,0.282,33363.33,168.8,9.01,9.215,9.06,8.965,7.96,434982,0,165.68,202.27200000000002,4,29,756,28400,0
381.69199999999995,91.2,0.321,35740.87,173.5,9.06,9.125,9.08,9.065,6.96,302506,0,172.88,221.15200000000002,4,59,588,14400,1
21.0046,67.12,0.5621,31696.83,101.9,6.665,6.72,6.67,6.665,8.62,450203,0,134.84,282.736,3,21,522,34200,0
24.8206,69.76,0.507,33791.065,117.2,7.205,7.31,7.26,7.395,8.08,448684,0,180.88,303.552,4,27,509,44400,1
26.3654,74.8,0.456,32852.27,156.7,7.9,8.09,7.96,8.055,7.32,387823,0,145.12,242.84799999999998,1,43,520,35600,1
20.8594,65.64,0.595,36468.575,96.4,6.335,6.505,6.275,6.25,8.68,459056,0,181.92,283.968,4,60,411,49600,0
22.4166,60.78,0.555,44823.295,149.5,8.15,8.34,8.215,8.305,7.4,543618,1,125.48,246.192,1,53,413,77400,0
24.996,98.78,0.376,32535.635,171.7,9.055,9.295,9.08,9.235,6.76,380380,0,161.32,282.128,1,39,593,26600,0
320.468,91.2,0.386,29463.72,170.8,8.86,9.005,8.795,9.135,6.96,340338,0,186.8,301.92,3,39,620,24000,1
21.5792,80.66,0.563,34846.515,79.5,7.73,8.025,7.715,8.025,7.26,488560,0,157.64,203.856,1,40,389,48200,1
37.0408,71.28,0.462,33135.575,162.7,7.945,8.14,7.83,8.06,7.8,457361,1,183.84,283.13599999999997,4,23,541,39200,1
25.791,76.18,0.511,30063.66,83.3,8.16,8.26,8.165,8.235,8.28,298989,1,113.48,223.792,4,21,562,47400,1
66.278,94.16,0.395,32663.4,170.8,8.69,8.82,8.725,8.985,8.06,470298,0,195.64,243.05599999999998,1,54,575,38200,0
20.3418,59.04,0.59,37374.04,109.6,3.84,4.035,3.84,4.03,8.6,502830,1,122.04,244.81599999999997,3,40,474,60200,1
23.2878,66.72,0.569,35735.315,122.6,5.975,6.13,6.055,6.185,7.18,504043,1,167.8,303.92,1,43,494,49000,1
183.0348,91.2,0.3,29941.45,172.4,9.0,9.25,9.025,9.265,7.96,369811,0,120.6,241.84,2,51,616,23000,1
21.1292,80.66,0.563,34618.76,127.2,7.33,7.5,7.45,7.69,8.26,447528,1,176.48,303.392,3,53,377,42400,0
133.3996,91.2,0.369,37124.065,170.3,9.225,9.36,9.175,9.53,7.96,513408,1,134.0,308.0,1,58,675,100000,1
20.410999999999998,56.48,0.59,35457.565,109.2,5.34,5.535,5.285,5.465,8.54,539589,1,115.88,303.952,3,22,383,49400,1
20.3902,57.76,0.5839,39462.72,133.0,5.28,5.455,5.315,5.505,7.28,477265,1,165.2,205.28,2,30,390,66000,1
28.0404,74.8,0.456,35452.01,140.7,8.1,8.325,8.21,8.3,8.32,478332,0,111.24,203.696,4,53,515,46200,0
298.268,91.2,0.287,34485.44,168.5,8.78,8.955,8.845,8.975,7.96,420282,0,156.68,221.872,4,37,749,23400,0
203.7404,91.2,0.3,30752.48,173.5,9.05,9.225,9.14,9.43,7.96,362581,1,164.52,221.808,1,46,607,22600,1
21.5956,67.82,0.5529999999999999,36007.51,105.6,7.89,7.96,7.8,8.075,8.48,504442,1,125.64,204.65599999999998,1,38,478,58200,1
24.5854,68.82,0.552,33496.65,159.0,7.085,7.18,7.125,7.23,7.42,374797,1,106.64,242.65599999999998,1,44,526,33200,1
22.6524,72.12,0.48,32502.305,170.2,8.905,9.025,8.935,8.925,6.82,430817,1,157.39149797570857,263.12,4,57,515,39000,0
