GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
324,115,3,3.5,3.0,8.76,1,1
336,119,4,4.5,4.0,9.62,1,1
315,105,3,2.0,2.5,8.48,0,1
300,99,1,3.0,2.0,6.8,1,0
320,112,2,3.5,3.5,8.78,1,1
311,98,1,1.0,2.5,7.46,0,0
312,98,1,3.5,3.0,8.18,1,1
312,105,2,2.0,2.5,8.45,0,1
304,100,2,2.5,3.5,8.07,0,1
314,102,2,2.0,2.5,8.24,0,1
306,103,2,2.5,3.0,8.36,0,1
317,104,2,3.0,3.0,8.76,0,1
325,112,4,4.0,4.5,9.17,1,1
310,101,3,3.5,5.0,8.65,1,1
303,100,2,3.0,3.5,8.06,1,1
322,110,3,3.0,3.5,8.0,0,1
328,112,4,4.0,4.5,9.1,1,1
327,113,3,3.5,3.0,8.66,1,1
317,106,1,1.5,3.5,7.65,1,1
323,110,3,4.0,3.5,9.1,1,1
310,103,2,2.5,2.5,8.24,0,1
320,110,5,5.0,5.0,9.2,1,1
324,111,3,2.5,1.5,8.79,1,1
311,104,2,2.0,2.0,8.3,0,0
315,105,2,2.0,2.5,7.65,0,0
313,103,3,4.0,4.0,8.75,0,1
317,104,2,4.5,4.0,8.47,0,0
330,115,5,4.5,3.0,9.34,1,1
312,103,3,3.5,4.0,8.78,0,1
318,109,1,3.5,3.5,9.12,0,1
299,100,3,2.0,3.0,7.42,0,0
317,106,3,4.0,3.5,8.5,1,1
328,113,4,4.0,2.5,8.77,1,1
300,99,1,1.0,2.5,8.01,0,0
314,107,2,2.5,4.0,8.27,0,1
305,102,2,2.0,2.5,8.18,0,1
320,104,3,3.0,2.5,8.57,1,1
335,115,4,4.5,4.5,9.68,1,1
293,97,2,2.0,4.0,7.8,1,1
305,106,2,3.0,3.0,8.16,0,1
317,105,3,3.5,3.0,8.56,0,1
334,120,5,4.0,5.0,9.87,1,1
301,97,2,3.0,3.0,7.88,1,0
338,120,4,5.0,5.0,9.66,1,1
301,104,3,3.5,4.0,8.12,1,1
318,110,3,4.0,3.0,8.8,0,1
316,105,2,2.5,2.5,8.2,1,0
321,109,3,3.0,4.0,8.2,1,1
305,105,2,3.0,4.0,8.13,0,1
319,110,3,3.5,3.5,9.04,0,1
332,108,5,4.5,4.0,9.02,1,1
324,112,4,4.0,3.5,8.77,1,1
322,110,3,3.5,3.0,8.96,1,1
305,108,5,3.0,3.0,8.48,0,1
324,109,3,3.5,3.0,8.94,1,1
308,106,3,3.0,3.0,8.24,0,0
322,110,3,3.5,2.5,8.67,1,1
325,106,3,3.5,4.0,8.4,1,0
318,109,3,3.0,3.0,8.5,0,1
328,115,4,4.5,4.0,9.16,1,1
307,107,2,3.0,3.5,8.52,1,1
326,116,3,3.5,4.0,9.14,1,1
322,114,5,4.5,4.0,8.94,1,1
314,104,4,5.0,5.0,9.02,0,1
322,112,3,3.0,4.0,8.62,1,1
319,110,3,3.0,2.5,8.79,0,1
319,106,3,3.5,2.5,8.33,1,1
312,100,2,1.5,3.5,7.9,1,0
316,110,3,3.5,4.0,8.56,0,1
325,114,4,3.0,2.0,8.4,0,1
299,100,3,2.0,2.0,8.02,0,1
324,114,5,5.0,4.5,9.08,1,1
330,116,4,4.0,3.5,9.23,1,1
313,94,2,2.5,1.5,8.13,0,0
312,99,1,1.0,1.5,8.01,1,0
305,107,2,2.5,2.5,8.42,0,1
321,111,4,4.0,4.0,8.97,1,1
310,106,2,3.5,2.5,8.33,0,1
329,113,4,4.0,3.5,9.36,1,1
310,105,2,3.0,3.5,8.01,0,1
309,105,4,3.5,2.0,8.18,0,1
324,107,4,4.0,4.5,8.87,1,1
299,97,3,5.0,3.5,7.66,0,0
332,118,2,4.5,3.5,9.36,1,1
329,111,4,4.5,4.5,9.18,1,1
307,101,3,4.0,3.0,8.2,0,0
300,104,3,3.5,3.0,8.16,0,1
314,110,3,4.0,4.0,8.8,0,1
338,117,4,3.5,4.5,9.46,1,1
315,105,2,3.0,3.0,8.34,0,1
334,116,4,4.0,3.5,9.54,1,1
309,100,2,3.0,3.0,8.1,0,0
309,106,2,2.5,2.5,8.0,0,1
320,103,3,3.0,3.0,7.7,0,1
313,101,3,2.5,3.0,8.04,0,1
311,102,3,4.5,4.0,8.64,1,1
317,107,3,4.0,3.0,8.7,0,1
304,104,3,2.5,2.0,8.12,0,1
308,101,2,3.0,4.0,7.9,0,1
312,105,2,2.5,3.0,8.12,0,1
