GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
306,105,2,2.5,3.0,8.22,1,1
331,120,3,4.0,4.0,8.96,1,1
300,97,2,3.0,3.0,8.1,1,1
318,101,5,3.5,5.0,8.78,1,1
323,112,5,4.0,4.5,8.78,0,1
311,101,3,2.0,2.5,7.64,1,1
329,114,5,4.0,5.0,9.3,1,1
295,96,2,1.5,2.0,7.34,0,0
312,101,2,2.5,3.5,8.04,1,1
318,112,3,4.0,3.5,8.67,0,1
320,108,3,3.5,5.0,8.97,1,1
311,101,2,2.5,3.5,8.34,1,1
326,112,4,4.0,3.5,9.12,1,1
308,104,2,2.5,3.0,8.07,0,1
312,100,1,3.0,3.0,8.53,1,1
303,102,3,3.5,3.0,8.5,0,1
328,110,4,4.0,2.5,9.02,1,1
324,105,3,3.0,4.0,8.75,0,1
308,108,4,4.5,5.0,8.34,0,1
304,105,2,3.0,3.0,8.2,1,0
324,110,4,3.0,3.5,8.97,1,1
317,107,3,3.5,3.0,8.68,1,1
320,113,2,2.0,2.5,8.64,1,1
332,118,5,5.0,5.0,9.47,1,1
328,110,4,5.0,4.0,9.14,1,1
317,107,2,3.5,3.0,8.28,0,1
327,113,4,4.5,4.5,9.04,0,1
324,110,3,3.5,3.0,9.22,1,1
323,110,5,4.0,5.0,8.98,1,1
335,117,5,5.0,5.0,9.82,1,1
298,101,2,1.5,2.0,7.86,0,0
322,110,3,4.0,5.0,8.64,1,1
332,119,4,5.0,4.5,9.24,1,1
303,99,3,2.0,2.5,7.66,0,0
312,109,2,2.5,4.0,9.02,0,1
316,110,3,4.0,4.5,8.78,1,1
327,106,4,4.0,4.5,8.75,1,1
313,104,3,4.0,4.5,8.65,0,1
324,113,4,4.5,4.5,9.25,1,1
316,109,4,4.5,3.5,8.76,1,1
325,112,2,3.0,3.5,8.96,1,1
307,110,4,4.0,4.5,8.37,0,1
326,112,3,3.5,3.0,9.05,1,1
297,101,3,2.0,4.0,7.67,1,0
322,107,3,3.5,3.5,8.46,1,1
307,108,2,4.0,3.5,7.7,0,0
324,110,3,3.5,3.5,9.04,1,1
330,113,5,5.0,4.0,9.31,1,1
299,106,2,4.0,4.0,8.4,0,1
298,98,2,1.5,2.5,7.5,1,0
320,110,5,5.0,4.5,9.22,1,1
302,99,2,1.0,2.0,7.97,0,0
326,114,3,3.0,3.0,9.11,1,1
316,107,2,3.5,3.5,8.64,1,0
322,104,3,3.5,4.0,8.84,1,1
330,114,3,4.5,4.5,9.24,1,1
305,105,2,3.0,2.0,8.23,0,1
331,116,5,5.0,5.0,9.38,1,1
331,119,4,5.0,4.5,9.34,1,1
298,99,2,4.0,2.0,7.6,0,0
310,99,2,1.5,2.0,7.3,0,0
314,105,3,3.5,2.5,8.3,0,0
309,108,3,2.5,3.0,8.12,0,1
306,100,2,3.0,3.0,8.0,0,0
319,112,3,2.5,2.0,8.71,1,1
295,101,2,2.5,2.0,7.86,0,1
316,103,3,3.5,2.0,7.68,0,0
308,103,2,3.0,3.5,8.49,0,1
299,100,1,1.5,2.0,7.89,0,0
336,119,5,4.0,3.5,9.8,1,1
314,105,2,2.5,2.0,7.64,0,1
340,115,5,5.0,4.5,9.06,1,1
336,118,5,4.5,4.0,9.19,1,1
320,111,4,4.5,3.5,8.87,1,1
324,112,4,4.5,4.0,9.22,1,1
332,118,5,5.0,5.0,9.64,1,1
304,102,2,3.0,4.0,8.73,0,1
321,109,3,3.5,3.5,8.8,1,1
335,117,5,5.0,5.0,9.56,1,1
330,116,4,5.0,4.5,9.45,1,1
334,119,5,4.5,4.5,9.48,1,1
327,108,5,5.0,3.5,9.13,1,1
328,116,5,5.0,5.0,9.5,1,1
327,114,3,3.0,3.0,9.02,0,1
323,107,4,3.0,2.5,8.48,1,1
332,112,1,1.5,3.0,8.66,1,1
307,109,3,4.0,3.0,8.0,1,1
324,111,4,3.0,3.0,9.01,1,1
314,106,3,3.0,5.0,8.9,0,1
309,99,3,4.0,4.0,8.56,0,1
311,104,2,2.5,3.5,8.48,0,1
301,98,1,2.0,3.0,8.03,1,1
312,110,2,3.5,3.0,8.53,0,1
320,108,3,3.5,4.0,8.44,1,1
318,100,2,2.5,3.5,8.54,1,1
331,116,5,4.0,4.0,9.26,1,1
340,120,4,5.0,5.0,9.5,1,1
326,113,5,4.5,4.0,9.4,1,1
336,112,5,5.0,5.0,9.76,1,1
303,105,5,5.0,4.5,8.65,0,1
