GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
308,108,3,3.5,3.5,8.22,0,1
300,98,1,2.0,2.5,8.02,0,1
323,110,4,4.0,5.0,8.88,1,1
321,109,4,4.0,4.0,8.68,1,1
303,98,1,2.0,2.5,7.65,0,0
340,112,4,5.0,4.5,9.66,1,1
320,120,3,4.0,4.5,9.11,0,1
324,112,4,4.0,2.5,8.1,1,1
299,102,3,4.0,3.5,8.62,0,0
325,110,4,4.5,4.0,8.96,1,1
314,99,4,3.5,4.5,8.73,1,1
322,112,4,4.5,4.5,9.26,1,1
316,106,2,2.5,4.0,8.32,0,1
327,115,4,3.5,4.0,9.14,0,1
339,116,4,4.0,3.5,9.8,1,1
319,103,4,4.5,3.5,8.66,0,1
331,117,4,4.5,5.0,9.42,1,1
313,102,3,2.0,3.0,8.27,0,1
316,100,2,1.5,3.0,8.16,1,1
323,113,3,4.0,3.0,9.32,1,1
311,104,3,4.0,3.5,8.13,1,1
300,101,3,3.5,2.5,7.88,0,0
319,108,3,3.0,3.5,8.54,1,1
296,99,2,2.5,2.5,8.03,0,1
327,113,4,3.5,3.0,8.69,1,1
327,111,4,4.0,4.5,9.0,1,1
322,110,5,5.0,4.0,9.1,1,1
314,108,3,4.5,3.5,8.14,0,1
337,118,4,4.5,4.5,9.65,1,1
307,102,3,3.0,3.0,8.27,0,1
322,105,2,3.0,3.0,8.45,1,1
321,102,3,3.5,4.0,9.01,1,1
314,107,3,3.0,3.5,8.17,1,1
311,105,3,3.5,3.0,8.45,1,0
329,111,4,4.5,4.0,9.23,1,1
322,103,4,3.0,2.5,8.02,1,1
309,104,2,2.0,2.5,8.26,0,1
300,100,3,2.0,3.0,8.66,1,1
310,106,4,1.5,2.5,8.36,0,0
299,100,2,3.0,3.5,7.88,0,1
309,105,2,2.5,4.0,7.68,0,0
321,110,3,3.5,5.0,8.85,1,1
332,117,4,4.5,4.0,9.1,0,1
298,92,1,2.0,2.0,7.88,0,0
325,111,4,4.0,4.5,9.11,1,1
312,107,4,4.5,4.0,8.65,1,1
314,102,4,2.5,2.0,7.88,1,0
311,103,3,2.0,4.0,8.09,0,1
305,102,2,1.5,2.5,7.64,0,0
297,99,4,3.0,3.5,7.81,0,0
296,101,1,2.5,3.0,7.68,0,1
327,116,4,4.0,4.5,9.48,1,1
325,114,5,4.0,5.0,9.46,1,1
321,114,4,4.0,5.0,9.12,0,1
329,119,4,4.5,4.5,9.16,1,1
323,113,4,4.0,4.5,9.23,1,1
321,111,5,5.0,5.0,9.45,1,1
308,109,2,3.0,4.0,8.45,0,1
334,116,4,4.0,3.0,8.0,1,1
316,104,3,3.0,3.5,8.0,1,1
318,103,3,4.0,4.5,8.49,1,1
299,100,2,2.0,2.0,7.88,0,0
307,105,2,2.5,3.0,7.65,0,0
315,110,2,3.5,3.0,8.46,1,1
321,110,4,3.5,4.0,8.35,1,1
321,114,5,4.5,4.5,9.16,1,1
320,110,2,4.0,3.5,8.56,0,1
300,102,3,3.5,2.5,8.17,0,1
336,118,5,4.5,5.0,9.53,1,1
301,102,3,2.5,2.0,8.13,1,1
318,106,2,4.0,4.0,7.92,1,1
319,105,3,3.0,3.5,8.67,1,1
316,103,2,2.0,4.5,8.74,0,1
316,105,3,3.0,3.5,8.73,0,1
312,103,4,4.0,5.0,8.43,0,1
326,110,3,3.5,3.5,8.76,1,1
323,113,3,4.0,4.0,8.88,1,1
300,100,3,3.0,3.5,8.26,0,1
313,106,2,2.5,2.0,8.43,0,1
324,112,5,5.0,5.0,9.08,1,1
315,103,1,1.5,2.0,7.86,0,0
313,107,2,2.5,2.0,8.5,1,0
304,97,2,1.5,2.0,7.64,0,0
325,107,3,3.0,3.5,9.11,1,1
312,105,3,2.0,3.0,8.02,1,0
290,100,1,1.5,2.0,7.56,0,0
317,110,3,4.0,4.5,9.11,1,1
311,107,4,4.5,4.5,9.0,1,1
333,113,5,4.0,4.0,9.28,1,1
305,104,2,2.5,1.5,7.79,0,0
333,117,4,5.0,4.0,9.66,1,1
307,105,2,2.0,3.5,8.1,0,0
316,102,2,4.0,3.5,8.15,0,1
294,95,1,1.5,1.5,7.64,0,0
322,112,4,3.5,2.5,9.02,1,1
309,105,5,3.5,3.5,8.56,0,1
310,104,3,2.0,3.5,8.37,0,1
318,110,1,2.5,3.5,8.54,1,1
316,98,1,1.5,2.0,7.43,0,0
315,104,3,3.0,2.5,8.33,0,1
