GRE Score,TOEFL Score,University Rating,SOP,LOR,CGPA,Research,Chance of Admit
330,114,4,4.5,3.0,9.17,1,1
323,111,5,4.0,5.0,9.86,1,1
307,105,2,2.5,4.5,8.12,1,1
312,107,3,3.0,2.0,7.9,1,1
297,100,1,1.5,2.0,7.9,0,0
310,110,1,1.5,4.0,7.23,1,0
300,102,2,1.5,2.0,7.87,0,0
302,102,1,2.0,1.5,8.0,0,0
295,99,1,2.0,1.5,7.57,0,0
304,105,1,3.0,1.5,7.5,0,0
320,104,3,3.5,4.5,8.34,1,1
305,112,3,3.0,3.5,8.65,0,1
304,107,3,3.5,3.0,7.86,0,0
311,106,2,3.5,3.0,8.26,1,1
311,104,3,3.5,2.0,8.2,1,1
315,99,2,3.5,3.0,7.89,0,1
340,114,5,4.0,4.0,9.6,1,1
325,108,4,4.5,4.0,9.06,1,1
335,118,5,4.5,3.5,9.44,1,1
314,106,2,4.0,3.5,8.25,0,1
298,98,2,4.0,3.0,8.03,0,0
334,114,4,4.0,4.0,9.43,1,1
301,96,1,3.0,4.0,7.56,0,0
302,110,3,4.0,4.5,8.5,0,1
327,111,4,3.0,4.0,8.4,1,1
333,118,5,5.0,5.0,9.35,1,1
315,107,2,4.0,3.0,8.5,1,0
301,99,3,2.5,2.0,8.45,1,1
325,112,4,4.0,4.0,9.0,1,1
337,117,5,5.0,5.0,9.87,1,1
324,113,5,4.0,5.0,9.25,1,1
312,109,3,3.0,3.0,8.69,0,1
321,112,3,3.0,4.5,8.95,1,1
317,101,3,3.0,2.0,7.94,1,0
319,105,4,4.0,4.5,8.66,1,1
308,105,4,3.0,2.5,7.95,1,1
322,110,4,4.0,5.0,9.13,1,1
329,113,5,5.0,4.5,9.45,1,1
317,106,2,2.0,3.5,8.12,0,1
304,100,4,1.5,2.5,7.84,0,0
329,110,2,4.0,3.0,9.15,1,1
326,108,3,3.0,3.5,8.89,0,1
327,112,3,3.0,3.0,8.72,1,1
312,107,3,3.0,3.0,8.46,1,1
327,104,5,3.0,3.5,8.84,1,1
315,105,3,2.0,2.5,8.34,0,1
296,95,2,3.0,2.0,7.54,1,0
305,103,2,2.5,3.5,8.13,0,0
312,108,3,3.5,3.0,8.53,0,1
333,119,5,5.0,4.5,9.78,1,1
304,103,5,5.0,3.0,7.92,0,1
312,105,2,1.5,3.0,8.46,0,1
340,120,5,4.5,4.5,9.6,1,1
319,102,3,2.5,2.5,8.37,0,1
299,96,2,1.5,2.0,7.86,0,0
316,111,4,4.0,5.0,8.54,0,1
328,108,4,4.5,4.0,9.18,1,1
310,102,3,3.5,4.0,8.02,1,1
294,93,1,1.5,2.0,7.36,0,0
338,118,4,3.0,4.5,9.4,1,1
320,104,3,3.0,3.5,8.74,1,1
325,110,4,3.5,4.0,8.67,1,1
321,111,3,2.5,3.0,8.9,1,1
331,116,4,4.5,4.5,9.44,1,1
340,115,5,4.5,4.5,9.45,1,1
340,120,4,4.5,4.0,9.92,1,1
326,114,4,4.0,3.5,9.16,1,1
318,109,3,3.5,4.0,9.22,1,1
330,116,5,5.0,4.5,9.36,1,1
324,107,5,3.5,4.0,8.66,1,1
340,113,4,5.0,5.0,9.74,1,1
302,99,1,2.0,2.0,7.25,0,0
312,104,3,3.5,3.5,8.42,0,1
321,111,3,3.5,4.0,8.83,1,1
324,100,3,4.0,5.0,8.64,1,1
330,120,5,4.5,5.0,9.56,1,1
290,104,4,2.0,2.5,7.46,0,0
313,109,3,4.0,3.5,9.0,0,1
299,94,1,1.0,1.0,7.34,0,0
314,107,2,2.5,4.0,8.56,0,1
314,108,4,4.5,4.0,9.04,1,1
300,95,2,3.0,1.5,8.22,1,1
296,97,2,1.5,2.0,7.8,0,0
329,114,2,2.0,4.0,8.56,1,1
323,107,3,3.5,3.5,8.55,1,1
325,114,3,3.5,3.0,9.04,1,1
302,101,2,2.5,3.5,7.96,0,0
301,100,3,3.5,3.0,8.04,0,1
326,102,4,5.0,5.0,8.76,1,1
297,96,2,2.5,1.5,7.89,0,0
325,110,2,3.0,2.5,8.76,1,1
324,111,5,4.5,4.0,9.16,1,1
326,116,2,4.5,3.0,9.08,1,1
320,110,5,4.0,4.0,9.27,1,1
310,107,3,3.5,3.5,8.67,0,1
297,98,2,2.5,3.0,7.67,0,0
313,98,3,2.5,4.5,8.3,1,1
313,107,3,4.0,4.5,8.69,0,1
308,103,2,2.5,4.0,8.36,1,1
295,93,1,2.0,2.0,7.2,0,0
